x_coordinate_over_R,y_coordinate_over_R,x_proper_over_R,y_proper_over_R,q_coordinate,q_proper,delta_coordinate_deg,delta_proper_deg
0.793353343594,-0.608761424705,0.793353327987,-0.608761445044,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793353146095,-0.60876127299,0.793353087871,-0.608761260659,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793352553763,-0.608760817634,0.793352367656,-0.608760707332,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793351566927,-0.608760058212,0.79335116761,-0.608759784719,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793350185914,-0.608758994302,0.793349488001,-0.608758492476,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793348411056,-0.608757625482,0.793347329102,-0.608756830262,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793346242684,-0.608755951331,0.793344691182,-0.608754797736,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793343681131,-0.608753971429,0.793341574516,-0.608752394558,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793340726731,-0.608751685356,0.793337979378,-0.60874962039,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793337379819,-0.608749092695,0.793333906046,-0.608746474895,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793333640731,-0.608746193029,0.793329354795,-0.608742957736,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793329509806,-0.608742985941,0.793324325907,-0.608739068578,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793324987382,-0.608739471015,0.793318819661,-0.608734807087,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793320073799,-0.608735647838,0.79331283634,-0.608730172931,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793314769399,-0.608731515997,0.793306376227,-0.608725165778,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793309074522,-0.608727075078,0.793299439608,-0.608719785297,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793302989514,-0.608722324669,0.793292026768,-0.608714031159,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793296514718,-0.608717264362,0.793284137996,-0.608707903035,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793289650481,-0.608711893745,0.793275773581,-0.6087014006,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.79328239715,-0.608706212411,0.793266933813,-0.608694523525,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793274755072,-0.608700219951,0.793257618986,-0.608687271488,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793266724598,-0.608693915959,0.793247829393,-0.608679644164,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793258306077,-0.608687300029,0.793237565329,-0.608671641231,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793249499863,-0.608680371757,0.79322682709,-0.608663262367,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793240306306,-0.608673130738,0.793215614975,-0.608654507252,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793230725762,-0.60866557657,0.793203929282,-0.608645375568,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793220758587,-0.608657708851,0.793191770685,-0.608635866513,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793210405135,-0.60864952718,0.793179140638,-0.608625978267,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793199665765,-0.608641031157,0.793166040246,-0.608615709472,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793188541907,-0.608632218987,0.793152469859,-0.608605059753,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.79317703549,-0.608623088227,0.793138429836,-0.608594028731,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793165147398,-0.608613637799,0.79312392054,-0.608582616022,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793152878048,-0.608603867233,0.79310894234,-0.608570821237,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793140227869,-0.608593776053,0.793093495608,-0.608558643986,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793127197292,-0.608583363774,0.793077580721,-0.608546083876,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793113786755,-0.608572629911,0.793061198059,-0.608533140514,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793099996701,-0.608561573972,0.793044348006,-0.608519813505,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793085827576,-0.608550195465,0.793027030946,-0.608506102455,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793071279829,-0.608538493894,0.793009247267,-0.608492006969,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793056353913,-0.608526468764,0.792990997361,-0.608477526651,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793041050282,-0.608514119578,0.792972281618,-0.608462661107,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793025369395,-0.608501445837,0.792953100435,-0.608447409942,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.793009311711,-0.608488447043,0.792933454207,-0.608431772761,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.792992877692,-0.608475122698,0.792913343333,-0.608415749173,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.792976067802,-0.608461472304,0.792892768213,-0.608399338783,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.792958882506,-0.608447495361,0.792871729249,-0.6083825412,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.792941322272,-0.608433191371,0.792850226844,-0.608365356032,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.792923387569,-0.608418559837,0.792828261593,-0.608347782644,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.792905078867,-0.60840360026,0.792805834768,-0.608329819517,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.792886396639,-0.608388312144,0.792782947464,-0.608311465367,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.792867341358,-0.608372694993,0.792759600115,-0.608292719779,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.7928479135,-0.60835674831,0.792735793152,-0.608273582338,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.792828114028,-0.608340470964,0.792711527012,-0.608254052627,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.792807944594,-0.608323860931,0.792686802135,-0.608234130231,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.792787406377,-0.608306916806,0.792661618961,-0.608213814733,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.792766499883,-0.608289638063,0.792635977933,-0.608193105719,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.79274522562,-0.608272024174,0.792609879498,-0.608172002771,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.792723584099,-0.608254074611,0.792583324102,-0.608150505475,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.792701575833,-0.608235788846,0.792556312196,-0.608128613416,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.792679201339,-0.608217166351,0.79252884423,-0.608106326179,0.673337691015,0.602902390526,74.9999993784,75.0000023162
0.792656461133,-0.608198206595,0.792500920658,-0.608083643351,0.673337691015,0.602902390526,74.9999993784,75.0000023162
