r_over_R,n_coordinate,n_proper,log10_n_coordinate,log10_n_proper,n_coordinate_over_n_proper,one_over_A
0,3.14201044005,1.02170861592,0.49720762375,0.00932705573679,3.07525099731,3.07525099731
0.00076597382602,3.1420104921,1.02170940408,0.497207630944,0.00932739075748,3.07524867596,3.07524867596
0.00153194765204,3.14201062854,1.02171147018,0.497207649803,0.00932826898738,3.07524259075,3.07524259075
0.00229792147806,3.14201085412,1.02171488551,0.497207680983,0.00932972072678,3.07523253177,3.07523253177
0.00306389530408,3.14201117654,1.02171976622,0.497207725549,0.00933179533561,3.0752181571,3.0752181571
0.0038298691301,3.14201158636,1.02172596825,0.497207782194,0.0093344315767,3.07519989116,3.07519989116
0.00459584295612,3.14201208667,1.02173353767,0.497207851349,0.00933764901753,3.07517759851,3.07517759851
0.00536181678214,3.14201268298,1.02174255605,0.497207933772,0.00934148232374,3.07515103915,3.07515103915
0.00612779060816,3.14201336697,1.02175289593,0.497208028313,0.00934587729782,3.07512058881,3.07512058881
0.00689376443418,3.1420141429,1.02176462008,0.497208135564,0.0093508605971,3.07508606304,3.07508606304
0.0076597382602,3.14201501412,1.02177777668,0.497208255986,0.00935645268955,3.07504732032,3.07504732032
0.00842571208622,3.14201597346,1.02179225498,0.497208388586,0.00936260647489,3.07500468726,3.07500468726
0.00919168591224,3.14201702634,1.02180813446,0.497208534118,0.0093693557124,3.07495793034,3.07495793034
0.00995765973826,3.14201817396,1.02182542995,0.497208692743,0.0093767066758,3.07490700647,3.07490700647
0.0107236335643,3.14201941027,1.02184404741,0.497208863629,0.00938461936379,3.07485219318,3.07485219318
0.0114896073903,3.14202074191,1.02186408305,0.497209047689,0.00939313463945,3.07479320784,3.07479320784
0.0122555812163,3.14202216788,1.02188551833,0.497209244788,0.00940224458122,3.0747301058,3.0747301058
0.0130215550423,3.14202368329,1.02190827589,0.49720945425,0.00941191628716,3.07466311547,3.07466311547
0.0137875288684,3.14202529595,1.02193246872,0.497209677154,0.00942219772575,3.07459190515,3.07459190515
0.0145535026944,3.14202700269,1.02195804486,0.497209913061,0.00943306677828,3.07451662862,3.07451662862
0.0153194765204,3.14202879977,1.0219849437,0.497210161456,0.00944449764261,3.07443746518,3.07443746518
0.0160854503464,3.14203069619,1.02201329495,0.497210423581,0.00945654539449,3.07435403405,3.07435403405
0.0168514241724,3.14203268659,1.02204301327,0.497210698697,0.00946917371549,3.07426658742,3.07426658742
0.0176173979985,3.14203476839,1.02207405475,0.497210986445,0.00948236390406,3.07417525549,3.07417525549
0.0183833718245,3.14203695179,1.02210656587,0.497211288236,0.00949617814532,3.07407960843,3.07407960843
0.0191493456505,3.14203922922,1.02214042788,0.497211603023,0.009510565918,3.07397999681,3.07397999681
0.0199153194765,3.14204159925,1.02217561359,0.49721193061,0.00952551562216,3.07387650174,3.07387650174
0.0206812933025,3.14204407331,1.02221228625,0.497212272576,0.00954109655468,3.07376864432,3.07376864432
0.0214472671286,3.1420466416,1.02225029367,0.497212627565,0.00955724398775,3.07365687353,3.07365687353
0.0222132409546,3.14204930425,1.02228963148,0.497212995598,0.00957395600693,3.07354120349,3.07354120349
0.0229792147806,3.14205207272,1.02233046148,0.497213378256,0.00959130127588,3.07342115991,3.07342115991
0.0237451886066,3.14205493616,1.02237261625,0.49721377404,0.00960920860361,3.07329723648,3.07329723648
0.0245111624326,3.14205789663,1.02241611882,0.497214183236,0.00962768770166,3.07316936696,3.07316936696
0.0252771362587,3.1420609634,1.02246109759,0.497214607124,0.00964679303916,3.0730371755,3.0730371755
0.0260431100847,3.14206412676,1.02250740187,0.497215044363,0.00966646052139,3.07290110666,3.07290110666
0.0268090839107,3.14206738998,1.02255507142,0.497215495402,0.0096867069685,3.07276104514,3.07276104514
0.0275750577367,3.14207076014,1.02260420127,0.497215961224,0.0097075726518,3.07261671352,3.07261671352
0.0283410315627,3.14207422867,1.02265465741,0.497216440641,0.00972900057394,3.07246850722,3.07246850722
0.0291070053888,3.14207780004,1.0227064964,0.497216934272,0.00975101466616,3.07231626191,3.07231626191
0.0298729792148,3.14208147916,1.02275977983,0.497217442795,0.0097736409981,3.07215979855,3.07215979855
0.0306389530408,3.14208525855,1.02281439041,0.497217965178,0.00979682967118,3.07199946345,3.07199946345
0.0314049268668,3.14208914397,1.02287040148,0.497218502214,0.00982061173049,3.07183504325,3.07183504325
0.0321709006928,3.14209313806,1.02292784121,0.49721905427,0.00984499903952,3.07166645728,3.07166645728
0.0329368745189,3.14209723451,1.02298660902,0.497219620474,0.0098699488002,3.07149400275,3.07149400275
0.0337028483449,3.14210144033,1.02304679505,0.497220201793,0.00989549917446,3.07131741727,3.07131741727
0.0344688221709,3.14210575588,1.02310839401,0.49722079828,0.00992164781471,3.07113671853,3.07113671853
0.0352347959969,3.14211017605,1.02317132206,0.497221409224,0.00994835902527,3.07095215464,3.07095215464
0.0360007698229,3.14211470909,1.02323568613,0.49722203577,0.00997567808833,3.07076341422,3.07076341422
0.036766743649,3.14211935309,1.02330144747,0.49722267765,0.0100035884395,3.07057061325,3.07057061325
0.037532717475,3.14212410409,1.02336853896,0.497223334318,0.010032061488,3.07037395079,3.07037395079
0.038298691301,3.14212897167,1.02343708438,0.497224007099,0.0100611496396,3.07017306645,3.07017306645
0.039064665127,3.14213395155,1.02350701145,0.497224695401,0.0100908221073,3.06996817452,3.06996817452
