delta_deg,q_coordinate,q_proper,q_proper_minus_q_coordinate
10,0.955155768658,0.953962689646,-0.0011930790123
12.5,0.943927255,0.942038983638,-0.00188827136202
15,0.932696032611,0.929945282595,-0.00275075001662
17.5,0.921471657044,0.917686392684,-0.00378526435973
20,0.910263625655,0.905271267176,-0.00499235847913
22.5,0.899078769891,0.892705163002,-0.00637360688955
25,0.887923266906,0.879994570437,-0.00792869646869
27.5,0.876802408358,0.867142833814,-0.00965957454389
30,0.865720866185,0.854158233707,-0.0115626324776
32.5,0.854682449748,0.841044940878,-0.0136375088704
35,0.843689988545,0.8278096042,-0.0158803843456
37.5,0.832745711191,0.814455710426,-0.0182900007649
40,0.821849931355,0.800988734761,-0.0208611965942
42.5,0.811002945935,0.787412521236,-0.0235904246984
45,0.800204025652,0.773731473363,-0.0264725522882
47.5,0.789452221071,0.759949358872,-0.0295028621981
50,0.778745259771,0.746070028283,-0.0326752314884
52.5,0.768080530509,0.732097518766,-0.0359830117432
55,0.757454933546,0.718037043045,-0.0394178905002
57.5,0.746864859769,0.703893424435,-0.042971435334
60,0.736306308332,0.689670667468,-0.0466356408634
62.5,0.725775123929,0.67537273441,-0.0504023895187
65,0.715266171562,0.661003896042,-0.0542622755198
67.5,0.704774353587,0.646568134361,-0.0582062192259
70,0.694293486896,0.632069210143,-0.062224276753
72.5,0.683816453199,0.617513702632,-0.0663027505676
75,0.673337691015,0.602902390526,-0.0704353004898
77.5,0.662848870133,0.58824417364,-0.0746046964934
80,0.652341761707,0.573541150548,-0.0788006111589
82.5,0.641809082077,0.558798422944,-0.0830106591327
85,0.631241765783,0.544022301507,-0.0872194642756
87.5,0.620630270139,0.529220338966,-0.0914099311739
90,0.609964795569,0.514398967148,-0.0955658284202
92.5,0.599234839808,0.499564256968,-0.0996705828404
95,0.588430456774,0.484722128364,-0.103708328411
97.5,0.577538489174,0.469878462842,-0.107660026331
100,0.566547966621,0.455039137797,-0.111508828824
102.5,0.555444801605,0.440209764461,-0.115235037144
105,0.544214988468,0.42539587257,-0.118819115898
107.5,0.532844601099,0.410602678611,-0.122241922488
110,0.521315963628,0.395834990139,-0.125480973489
112.5,0.509611755596,0.381097129221,-0.128514626376
115,0.497713149477,0.366392239851,-0.131320909626
117.5,0.485599026775,0.351725913371,-0.133873113404
120,0.47324694378,0.337104706406,-0.136142237374
122.5,0.460632663585,0.32252559145,-0.138107072135
125,0.447729067852,0.307999648085,-0.139729419768
127.5,0.434506323696,0.293521293874,-0.140985029823
130,0.420934339041,0.279094789351,-0.141839549691
132.5,0.406976032009,0.264721904701,-0.142254127308
135,0.392593227911,0.250403312848,-0.142189915063
137.5,0.377743449572,0.236138773514,-0.141604676058
140,0.36237967071,0.221927361011,-0.140452309698
142.5,0.346450210221,0.207765083827,-0.138685126393
145,0.329895792485,0.193658409665,-0.13623738282
147.5,0.312655546022,0.179597278703,-0.133058267319
150,0.294658963743,0.165586061321,-0.129072902422
152.5,0.275833015774,0.151618864657,-0.124214151117
155,0.256100943108,0.137693342429,-0.11840760068
157.5,0.235382714719,0.123807072599,-0.11157564212
160,0.213601350974,0.10995683064,-0.103644520334
162.5,0.190687688422,0.0961390468513,-0.0945486415709
165,0.166590527451,0.0823492276817,-0.0842412997692
167.5,0.141288295056,0.0685853708102,-0.0727029242453
170,0.114805124451,0.0548432722355,-0.0599618522157
