r_over_R,p_over_pc,eps_over_epsc,m_over_M,A_over_AR,B,v_over_c,gamma_minus_1
0,1,1,0,0.510736519122,1,0.699473717075,0.399270067022
0.000714796283059,0.999997643906,0.999998647672,1.98061847924e-09,0.510736862935,1.0000008482,0.699473471309,0.399269596048
0.00142959256612,0.999991749657,0.999995264543,1.23386991207e-08,0.510737723056,1.00000309117,0.699472856474,0.39926841781
0.00214438884918,0.999981520365,0.999989393203,4.21245912538e-08,0.510739215781,1.00000698768,0.699471789437,0.399266373003
0.00285918513224,0.999967500265,0.999981346,9.77208923203e-08,0.510741261709,1.00001232862,0.699470326956,0.39926357041
0.0035739814153,0.999949292217,0.999970894942,1.90803941305e-07,0.510743918816,1.00001926521,0.699468427582,0.399259930623
0.00428877769836,0.999927141112,0.999958180538,3.28467133015e-07,0.510747151394,1.00002770415,0.699466116839,0.399255502576
0.00500357398142,0.999900954253,0.999943149519,5.2034680288e-07,0.510750973007,1.00003768083,0.699463385027,0.399250267713
0.00571837026447,0.999870672775,0.999925768011,7.76900934092e-07,0.510755392291,1.0000492178,0.699460225966,0.399244214231
0.00643316654753,0.999836508026,0.999906157257,1.10307131969e-06,0.510760378442,1.00006223462,0.699456661673,0.399237384355
0.00714796283059,0.999798097344,0.999884108952,1.51533375129e-06,0.51076598446,1.00007686965,0.699452654252,0.399229705524
0.00786275911365,0.999755956003,0.999859918812,2.01128165077e-06,0.510772135176,1.00009292664,0.699448257432,0.399221280739
0.00857755539671,0.999709417645,0.999833204127,2.61606098937e-06,0.510778927959,1.00011065979,0.699443401599,0.399211976676
0.00929235167977,0.999659200064,0.999804376892,3.32021660005e-06,0.510786258064,1.00012979564,0.699438161624,0.399201936853
0.0100071479628,0.999604637162,0.999773054487,4.15135800897e-06,0.510794222856,1.00015058836,0.699432467894,0.399191027964
0.0107219442459,0.999546294735,0.999739561647,5.10176795282e-06,0.510802739779,1.00017282242,0.699426379415,0.399179363136
0.0114367405289,0.999483760018,0.999703661165,6.19347613453e-06,0.510811869226,1.00019665548,0.699419853002,0.399166859715
