r_over_R,p_over_pc,eps_over_epsc,m_over_M,A_over_AR,B,v_over_c,gamma_minus_1
0,1,1,0,0.435933234861,1,0.751043783769,0.514572300503
0.000714796283059,0.999996172753,0.999998033547,5.88595612844e-09,0.435933933388,1.00000157404,0.751043318732,0.514571087051
0.00142959256612,0.999992296894,0.999996042116,1.18466721297e-08,0.435934640787,1.00000316797,0.751042847788,0.51456985819
0.00214438884918,0.999985387608,0.999992492078,3.47674716986e-08,0.435935901845,1.00000627371,0.751042008249,0.514567667545
0.00285918513224,0.999975178608,0.999987246612,7.61371902188e-08,0.435937765165,1.00001102398,0.751040767758,0.514564430698
0.0035739814153,0.999964969609,0.999982001146,1.17506908739e-07,0.435939628485,1.00001577425,0.751039527266,0.514561193873
0.00428877769836,0.999948219274,0.999973394549,2.27432427655e-07,0.435942685817,1.00002358779,0.751037491862,0.514555882939
0.00500357398142,0.999931270074,0.999964685769,3.39442137037e-07,0.43594577945,1.00003149447,0.751035432287,0.514550509006
0.00571837026447,0.999911198795,0.999954372674,5.00364077231e-07,0.435949443041,1.00004085951,0.751032993256,0.514544145073
0.00643316654753,0.99988749206,0.999942191459,7.18241069527e-07,0.435953770312,1.00005192272,0.751030112371,0.514536628382
0.00714796283059,0.999863785326,0.999930010244,9.36118061822e-07,0.435958097583,1.00006298593,0.751027231475,0.514529111804
0.00786275911365,0.99983363296,0.999914516581,1.2885281931e-06,0.43596360177,1.00007705917,0.751023567027,0.514519551054
0.00857755539671,0.999803166493,0.999898861501,1.64749422302e-06,0.435969163309,1.0000912791,0.751019864379,0.514509890869
0.00929235167977,0.999769691724,0.999881660264,2.08492454695e-06,0.435975274267,1.00010690403,0.751015795928,0.514499276574
0.0100071479628,0.999732465826,0.999862531085,2.62019398954e-06,0.435982070312,1.0001242809,0.751011271346,0.514487472598
0.0107219442459,0.999695239929,0.999843401906,3.15546343213e-06,0.435988866356,1.00014165777,0.751006746737,0.514475668897
0.0114367405289,0.99965168439,0.999821019081,3.88882579357e-06,0.435996818746,1.0001619916,0.751001452232,0.514461857149
0.012151536812,0.999607700182,0.999798415907,4.63560380212e-06,0.436004849449,1.0001825257,0.75099610555,0.514447909771
0.0128663330951,0.999560823475,0.999774325652,5.4879929026e-06,0.436013408756,1.00020441151,0.750990406892,0.51443304476
0.0135811293781,0.999510082523,0.999748248728,6.48147356683e-06,0.436022674254,1.00022810315,0.750984238014,0.514416953795
0.0142959256612,0.999459341572,0.999722171803,7.47495423106e-06,0.436031939752,1.0002517948,0.750978069086,0.514400863343
0.0150107219442,0.999402388801,0.99969290069,8.72765798655e-06,0.436042340909,1.00027839052,0.75097114398,0.514382801318
0.0157255182273,0.999344893006,0.999663350347,1.00030224912e-05,0.436052841343,1.0003052401,0.750964152711,0.514364567551
0.0164403145104,0.999284621005,0.999632372145,1.14087354405e-05,0.436063849557,1.00033338818,0.750956823288,0.514345452742
0.0171551107934,0.999220372563,0.999599348782,1.30011502245e-05,0.436075585078,1.00036339613,0.750949009535,0.514325075824
0.0178699070765,0.999156124121,0.999566325418,1.45935650085e-05,0.436087320599,1.00039340408,0.750941195701,0.514304699729
0.0185847033595,0.999085782652,0.999530167551,1.65038924053e-05,0.436100171119,1.00042626336,0.750932639376,0.514282388632
0.0192994996426,0.999014784037,0.999493671621,1.84485073211e-05,0.436113141894,1.00045943017,0.750924002883,0.51425986975
0.0200142959257,0.998941125811,0.999455807122,2.05457954115e-05,0.436126599635,1.00049384229,0.750915042042,0.514236506493
0.0207290922087,0.998863379768,0.999415839134,2.28777418855e-05,0.436140805844,1.00053016848,0.750905582717,0.514211845036
0.0214438884918,0.998785633725,0.999375871146,2.52096883596e-05,0.436155012053,1.00056649467,0.750896123273,0.514187184784
0.0221586847748,0.998701914249,0.999332828502,2.79157862803e-05,0.436170312643,1.0006056196,0.750885934984,0.514160626167
0.0228734810579,0.99861742379,0.999289389015,3.06701754735e-05,0.436185754484,1.00064510576,0.750875652499,0.514133823786
0.023588277341,0.998530390541,0.999244640294,3.35971477734e-05,0.436201662491,1.00068578412,0.750865059454,0.514106213768
0.024303073624,0.998439158942,0.999197729919,3.6809068743e-05,0.436218340176,1.00072843088,0.750853953724,0.514077269514
0.0250178699071,0.998347927343,0.999150819545,4.00209897126e-05,0.436235017862,1.00077107765,0.75084284783,0.51404832692
0.0257326661901,0.998250842633,0.999100894501,4.36608412461e-05,0.436252769356,1.0008164707,0.750831026692,0.514017522653
0.0264474624732,0.998152873435,0.999050513898,4.73653591076e-05,0.436270683118,1.00086227876,0.750819097308,0.513986438709
0.0271622587563,0.998052478436,0.998998883427,5.12599540378e-05,0.436289042256,1.00090922592,0.750806871136,0.513954583934
0.0278770550393,0.997947775441,0.998945033306,5.54921081285e-05,0.43630819234,1.000958196,0.750794118024,0.513921358938
0.0285918513224,0.997843072447,0.998891183185,5.97242622192e-05,0.436327342425,1.00100716609,0.750781364696,0.513888136129
0.0293066476054,0.997732637326,0.998834378507,6.44356582544e-05,0.436347545786,1.00105883014,0.750767909686,0.513853088397
0.0300214438885,0.997621204601,0.998777059626,6.92304602971e-05,0.436367932458,1.00111096304,0.75075433235,0.513817725136
0.0307362401716,0.997507463175,0.998718550265,7.42304172304e-05,0.436388743722,1.00116418196,0.750740471986,0.513781627922
0.0314510364546,0.997389305046,0.998657763433,7.96228494987e-05,0.436410367261,1.00121947852,0.750726070374,0.513744124549
0.0321658327377,0.997271146917,0.998596976602,8.5015281767e-05,0.4364319908,1.00127477507,0.750711668485,0.513706623963
0.0328806290207,0.997147378253,0.998533295441,9.0935792613e-05,0.436454647125,1.00133271338,0.750696578436,0.51366733526
0.0335954253038,0.997022499309,0.998469041516,9.69608060973e-05,0.436477507829,1.00139117448,0.750681351954,0.513627695239
0.0343102215868,0.99689542882,0.998403656509,0.000103203636986,0.436500772347,1.00145066853,0.750665856193,0.513587358212
0.0350250178699,0.996763833911,0.998335936397,0.00010989614956,0.436524870532,1.0015122951,0.750649804815,0.513545579136
0.035739814153,0.996632239001,0.998268216285,0.000116588662135,0.436548968717,1.00157392168,0.750633753094,0.513503803519
0.036454610436,0.996495155702,0.998197662177,0.000123855609172,0.436574079231,1.00163813791,0.750617026698,0.513460276651
0.0371694067191,0.996356849937,0.998126476833,0.000131250503763,0.436599415228,1.00170293095,0.750600149729,0.513416362734
0.0378842030021,0.996216469787,0.998054219809,0.000138873464797,0.436625134257,1.00176870388,0.750583017222,0.513371788829
0.0385989992852,0.996071458539,0.997979570239,0.000147005587553,0.436651708415,1.00183666443,0.75056531467,0.513325737032
0.0393137955683,0.995926447291,0.99790492067,0.00015513771031,0.436678282572,1.00190462498,0.7505476117,0.513279689439
0.0400285918513,0.995776070294,0.99782749753,0.000163888137675,0.436705848634,1.00197512318,0.750529247508,0.513231927518
0.0407433881344,0.995624359194,0.997749384788,0.000172792296138,0.436733661317,1.00204625233,0.750510718566,0.513183742876
0.0414581844174,0.995470690815,0.997670259756,0.00018193235944,0.436761836251,1.00211830829,0.750491947824,0.513134935339
0.0421729807005,0.995312285755,0.997588684945,0.000191643320716,0.436790887842,1.00219260716,0.750472592543,0.51308461411
0.0428877769836,0.995153880694,0.997507110134,0.000201354281992,0.436819939433,1.00226690604,0.750453236762,0.513034297901
0.0436025732666,0.994990232968,0.997422822263,0.000211724928302,0.436849962535,1.00234369065,0.750433233183,0.512982304349
0.0443173695497,0.994825140098,0.997337786534,0.000222277417236,0.436880253434,1.00242116046,0.750413050637,0.51292985246
0.0450321658327,0.994658206953,0.997251797887,0.000233071242595,0.436910885793,1.00249950398,0.750392640027,0.512876814845
0.0457469621158,0.994486432684,0.997163302442,0.000244499939945,0.436942416416,1.00258014594,0.750371630317,0.512822227779
0.0464617583989,0.994314658416,0.997074806997,0.000255928637296,0.436973947039,1.00266078791,0.750350620018,0.512767646622
0.0471765546819,0.994137764953,0.996983659076,0.000268055907415,0.437006428802,1.00274386376,0.750328975316,0.512711425168
0.047891350965,0.993959315956,0.996891705164,0.000280395448031,0.437039199581,1.00282767918,0.75030713739,0.512654709819
0.048606147248,0.993779143529,0.996798857677,0.00029297935468,0.437072291021,1.00291231519,0.750285085137,0.512597445985
0.0493209435311,0.993594026732,0.996703446598,0.000306264325681,0.437106302408,1.0029993054,0.750262419152,0.512538596985
0.0500357398142,0.993408909936,0.996608035519,0.000319549296683,0.437140313794,1.00308629561,0.750239752483,0.512479754854
0.0507505360972,0.993218797749,0.996510032611,0.000333569233535,0.437175255973,1.00317566792,0.75021646478,0.512419309537
0.0514653323803,0.99302702034,0.996411165713,0.000347834172488,0.437210508433,1.00326583431,0.750192969553,0.512358334817
0.0521801286633,0.992833636133,0.996311464542,0.000362344110928,0.43724606074,1.00335676812,0.750169273737,0.512296848933
0.0528949249464,0.992635205558,0.996209143221,0.000377623504031,0.437282554758,1.00345011212,0.750144949488,0.512233742209
0.0536097212294,0.992436774982,0.9961068219,0.000392902897134,0.437319048776,1.00354345613,0.750120624449,0.512170643383
0.0543245175125,0.992233473098,0.996001969452,0.000408951153568,0.437356453257,1.0036391305,0.750095691724,0.512105978547
0.0550393137956,0.992028397059,0.995896195154,0.000425279433833,0.437394189333,1.00373565361,0.750070537128,0.512040748854
0.0557541100786,0.991821830592,0.995789645838,0.000441850957708,0.437432204425,1.00383289093,0.750045195688,0.511975045396
0.0564689063617,0.991610117051,0.995680420059,0.000459262503149,0.437471183076,1.00393259468,0.750019211036,0.511907685461
0.0571837026447,0.99139840351,0.995571194279,0.00047667404859,0.437510161728,1.00403229843,0.749993225484,0.511840334527
0.0578984989278,0.991181942967,0.995459498118,0.000494885859293,0.437550030528,1.00413428086,0.749966645573,0.511771454823
0.0586132952109,0.990963600142,0.995346822401,0.000513414991109,0.43759025229,1.00423716684,0.749939829393,0.511701974861
0.0593280914939,0.990743882939,0.99523343086,0.000532183229139,0.437630732216,1.00434071374,0.749912840125,0.51163205861
0.060042887777,0.990518919305,0.995117306797,0.000551864209907,0.437672197639,1.00444678359,0.749885192787,0.511560450284
0.06075768406,0.990293955672,0.995001182735,0.000571545190674,0.437713663062,1.00455285343,0.74985754443,0.511488852133
0.0614724803431,0.990064369511,0.994882649069,0.000592055344151,0.43775599833,1.0046611503,0.749829315025,0.511415762521
0.0621872766262,0.989832793801,0.994763078304,0.000612922376015,0.437798707982,1.00477040569,0.749800834901,0.511342037297
0.0629020729092,0.989599959391,0.99464285084,0.000634022003986,0.437841654923,1.00488026865,0.749772195454,0.511267913342
0.0636168691923,0.989361780591,0.994519835062,0.000656109226855,0.437885609389,1.00499271132,0.749742883001,0.51119206175
0.0643316654753,0.989123601791,0.994396819284,0.000678196449723,0.437929563855,1.00510515399,0.749713569402,0.511116221578
0.0650464617584,0.988880925053,0.994271454705,0.000701139260332,0.437974367871,1.00521977206,0.74968368805,0.511038927321
0.0657612580415,0.988636152407,0.994144995654,0.00072448075007,0.438019567753,1.00533540379,0.749653541476,0.510960962148
0.0664760543245,0.988390236318,0.994017938952,0.000748045962885,0.438064984021,1.00545158966,0.749623249358,0.510882635884
0.0671908506076,0.988138879323,0.993888038416,0.000772675729513,0.438111429937,1.00557041229,0.749592269213,0.510802546456
0.0679056468906,0.987887522329,0.99375813788,0.000797305496141,0.438157875852,1.00568923492,0.749561287786,0.510722469763
0.0686204431737,0.987631792048,0.993625949361,0.0008228147762,0.438205151027,1.00581018132,0.749529751893,0.510640976432
0.0693352394568,0.987373860459,0.993492609178,0.000848766762096,0.438252843612,1.00593219672,0.749497936214,0.510558776928
0.0700500357398,0.987114900208,0.993358730303,0.000874931245897,0.43830073165,1.00605471273,0.749465988788,0.510476254054
0.0707648320229,0.986850404032,0.99322195236,0.000902239323999,0.438349671556,1.00617992284,0.749433338226,0.510391932525
0.0714796283059,0.986585907856,0.993085174417,0.000929547402101,0.438398611462,1.00630513295,0.749400686241,0.510307625116
0.072194424589,0.986317163051,0.992946169311,0.000957756434059,0.438448360336,1.0064324152,0.749367493066,0.510221938587
0.0729092208721,0.98604611255,0.992805955543,0.000986454406069,0.438498548232,1.00656082198,0.74933400548,0.510135510672
0.0736240171551,0.985774147639,0.992665261941,0.00101535131043,0.438548910613,1.00668967574,0.749300399964,0.510048797193
0.0743388134382,0.985496553328,0.992521614333,0.00104547290502,0.438600347184,1.00682128123,0.749266076114,0.509960249601
0.0750536097212,0.985218959017,0.992377966724,0.00107559449962,0.438651783755,1.00695288672,0.749231750692,0.509871717584
0.0757684060043,0.984937240686,0.992232152767,0.0011066360083,0.438704009002,1.00708651272,0.749196897349,0.509781844037
0.0764832022873,0.984653113333,0.992085073351,0.00113821487934,0.43875669495,1.00722131898,0.749161734907,0.509691193937
0.0771979985704,0.984368185241,0.991937572851,0.00116997678953,0.438809534379,1.00735651848,0.749126468376,0.509600296162
0.0779127948535,0.984077535867,0.991787063709,0.00120304651426,0.438863470423,1.00749452764,0.749090468219,0.509507528848
0.0786275911365,0.983786886493,0.991636554567,0.00123611623899,0.438917406467,1.0076325368,0.749054466333,0.509414778635
