r_over_R,n_coordinate,n_proper,log10_n_coordinate,log10_n_proper,n_coordinate_over_n_proper,one_over_A
0,3.89219848355,0.879113064589,0.590194979108,-0.0559552658031,4.42741513047,4.42741513047
0.00076597382602,3.89219772383,0.879114403795,0.590194894337,-0.0559546042165,4.42740752173,4.42740752173
0.00153194765204,3.89219695511,0.879115758863,0.590194808563,-0.055953934795,4.42739982291,4.42739982291
0.00229792147806,3.8921953732,0.879118547469,0.590194632052,-0.0559525571899,4.42738397956,4.42738397956
0.00306389530408,3.89219334847,0.879122116793,0.59019440613,-0.0559507939071,4.42736370081,4.42736370081
0.0038298691301,3.89219091402,0.879126408559,0.590194134492,-0.0559486737399,4.4273393179,4.4273393179
0.00459584295612,3.89218755268,0.879132334681,0.59019375943,-0.055945746205,4.42730565028,4.42730565028
0.00536181678214,3.89218419152,0.879138260833,0.590193384389,-0.0559428186751,4.42727198317,4.42727198317
0.00612779060816,3.89217953637,0.879146469025,0.590192864962,-0.0559387638451,4.42722535266,4.42722535266
0.00689376443418,3.89217483556,0.879154758438,0.590192340438,-0.0559346689309,4.42717826207,4.42717826207
0.0076597382602,3.89216929749,0.879164525138,0.590191722492,-0.0559298442965,4.427122781,4.427122781
0.00842571208622,3.89216325692,0.879175179115,0.590191048475,-0.0559245814191,4.42706226175,4.42706226175
0.00919168591224,3.89215683634,0.879186504575,0.590190332055,-0.0559189869103,4.42699793058,4.42699793058
0.00995765973826,3.89214945651,0.87919952369,0.590189508598,-0.0559125558653,4.42692398214,4.42692398214
0.0107236335643,3.89214207756,0.879212542948,0.590188685238,-0.0559061248447,4.42685003617,4.42685003617
0.0114896073903,3.89213343556,0.879227792855,0.590187720942,-0.0558985920897,4.42676342489,4.42676342489
0.0122555812163,3.8921247184,0.879243177746,0.590186748258,-0.0558909927907,4.42667605153,4.42667605153
0.0130215550423,3.89211519559,0.879259987258,0.590185685673,-0.0558826899584,4.42658059276,4.42658059276
0.0137875288684,3.89210514117,0.879277738221,0.590184563768,-0.0558739222817,4.42647979357,4.42647979357
0.0145535026944,3.89209473837,0.879296107569,0.590183402986,-0.0558648493544,4.42637548929,4.42637548929
0.0153194765204,3.89208334777,0.879316225073,0.590182131979,-0.0558549132009,4.42626126618,4.42626126618
0.0160854503464,3.89207195927,0.879336342919,0.590180861202,-0.0558449771056,4.42614704897,4.42614704897
